feature,importance
compact__s1__spectral_centroid_hz,0.05379409637656378
compact__s3__skew,0.05000612029302247
compact__s2__spectral_centroid_hz,0.04841346314899055
compact__s1__kurtosis,0.04451809339337999
compact__s3__spectral_centroid_hz,0.041252675944898926
compact__s3__spectral_entropy,0.04033133370220998
compact__s1__skew,0.0400665291916475
compact__s1__spectral_entropy,0.03324361387531553
compact__vin_mean,0.03224148683995933
compact__s2__spectral_entropy,0.03207359639253819
compact__rpm_mean,0.03141867694585066
compact__s3__kurtosis,0.030898842365792323
compact__s3__rms,0.0301961482622058
compact__s3__std,0.029699931422854327
compact__rpm_median,0.02965855432381807
compact__s1__std,0.02849032440503062
compact__s1__rms,0.027990810262198976
compact__s3__log_broadband_power,0.026247101572007804
compact__s1__log_broadband_power,0.024061909553192012
compact__s1__p2p,0.02388188631273919
compact__s2__std,0.023624351841977392
compact__s1__crest,0.023097206514513673
compact__s2__kurtosis,0.022926027698709276
compact__s3__p2p,0.021792626127596658
compact__s2__rms,0.0212014421229817
compact__s2__log_broadband_power,0.020721352737879783
compact__s2__order1_amp,0.020297753311380697
compact__s2__skew,0.018010008853461167
compact__s3__order1_amp,0.01568231342526007
compact__s1__order1_amp,0.01464671878710805
compact__s2__order2_amp,0.013913899828916642
compact__s3__crest,0.01370086457608363
compact__s2__p2p,0.013332896238759323
compact__s2__crest,0.012964403678427215
compact__s1__order2_amp,0.01241104656261492
compact__s3__order2_amp,0.010312558907850985
compact__s3__order3_amp,0.007300400830668585
compact__s1__order3_amp,0.006845182536787408
compact__s2__order3_amp,0.0056171531418861085
compact__rpm_std,0.0029593367202854744
compact__vin_std,0.0001572609726352592
compact__s1__order1_rel_power,0.0
compact__s2__order1_rel_power,0.0
compact__s3__order1_rel_power,0.0
