session,recording,windows,severity,rpm_min,rpm_median,rpm_max
D,0D,322,0,640.36035,1490.2614749999998,2354.8897500000003
D,1D,322,1,640.08795,1472.345025,2338.3154
D,2D,322,2,629.1350749999999,1484.29115,2341.03795
D,3D,321,3,636.31282,1490.94285,2338.68135
D,4D,321,4,631.638415,1471.34175,2341.48275
E,0E,83,0,1057.07115,1473.8541500000001,1954.8841
E,1E,84,1,1052.5208499999999,1509.63155,1933.7841
E,2E,83,2,1055.59565,1502.6109,1951.21265
E,3E,84,3,1048.1998,1506.5115,1931.4031
E,4E,84,4,1048.5066,1495.131075,1960.4961
