feature,ks_statistic,robust_median_shift
Machine1.ExitZoneTemperature.C.Actual,1.0,50.00000000000284
Machine1.MotorRPM.C.Actual,1.0,9.187499999999996
FirstStage.CombinerOperation.Temperature1.U.Actual,1.0,8.076923076923094
Machine3.MotorRPM.C.Actual,1.0,4.310344827586193
Machine1.MaterialTemperature.U.Actual,1.0,3.75123362901188
AmbientConditions.AmbientHumidity.U.Actual,1.0,3.1249999999999973
Machine5.Temperature4.C.Actual,1.0,2.066192242446544
Stage1.Output.Measurement4.U.Actual,0.981012889375108,0.20231689072459885
Machine4.Temperature3.C.Actual,0.9386293996199815,0.5
AmbientConditions.AmbientTemperature.U.Actual,0.9214426229508198,1.142857142857144
FirstStage.CombinerOperation.Temperature2.U.Actual,0.9181639344262296,2.6422915227970996
Machine5.Temperature6.C.Actual,0.9155409836065574,1.1999999999999886
Machine3.RawMaterial.Property2,0.8747540983606558,2.615714849549319
Machine3.RawMaterial.Property4,0.8747540983606558,1.5
Machine3.RawMaterial.Property3,0.8747540983606558,0.9860541427399495
Machine3.RawMaterial.Property1,0.8747540983606558,0.22619047619047564
Stage1.Output.Measurement10.U.Actual,0.8116335041497701,0.17486601270128585
Stage1.Output.Measurement6.U.Actual,0.7639420595033436,1.6409159508582205
Stage1.Output.Measurement1.U.Actual,0.7515749714163505,2.4470843607231725
Stage1.Output.Measurement13.U.Actual,0.7369737030426164,0.2724999540206033
Machine4.Temperature5.C.Actual,0.7308015431057884,0.9194502797363518
Machine1.RawMaterial.Property3,0.7239344262295082,1.0
Stage1.Output.Measurement7.U.Actual,0.6945175655778831,0.9931506849315068
Stage1.Output.Measurement14.U.Actual,0.6287623732243178,2.3718492259108244
Machine2.MaterialTemperature.U.Actual,0.579998914232601,0.17943652849293829
Machine3.MaterialTemperature.U.Actual,0.5779672131147542,0.3636363636363648
Stage1.Output.Measurement0.U.Actual,0.5721627664037244,0.09645338872463512
Machine3.MaterialPressure.U.Actual,0.5335081967213116,0.09720605355064117
Machine2.MotorAmperage.U.Actual,0.5095785412879505,0.7857142857142785
Machine4.Pressure.C.Actual,0.4991424740690779,1.0
