feature,importance
Machine3.MaterialTemperature.U.Actual,0.11215367226667451
Machine5.Temperature3.C.Actual,0.09731151571206449
Machine5.Temperature4.C.Actual,0.08226550416088968
AmbientConditions.AmbientHumidity.U.Actual,0.07205443914775544
Machine2.RawMaterial.Property3,0.06823506207914648
Machine2.RawMaterial.Property4,0.061922505014729255
FirstStage.CombinerOperation.Temperature2.U.Actual,0.04720513033426483
Machine2.MaterialTemperature.U.Actual,0.04650120747326973
Machine5.Temperature6.C.Actual,0.03936182494218728
Machine1.MaterialTemperature.U.Actual,0.035982194953972306
Machine2.RawMaterial.Property1,0.03142687895204459
AmbientConditions.AmbientTemperature.U.Actual,0.028844878965701287
Machine2.RawMaterial.Property2,0.028730623132252393
Machine4.Temperature3.C.Actual,0.028674594949955817
Machine3.MaterialPressure.U.Actual,0.022036891200125985
Machine5.ExitTemperature.U.Actual,0.02176487905792601
Machine4.Temperature5.C.Actual,0.014832049503825046
Machine1.Zone1Temperature.C.Actual,0.013630556400189666
Machine1.Zone2Temperature.C.Actual,0.008962166165820854
Machine4.Temperature1.C.Actual,0.008543301432994792
Machine4.Temperature2.C.Actual,0.008095317147526865
Stage1.Output.Measurement14.U.Actual,0.007466301117222714
Machine1.MotorAmperage.U.Actual,0.006406156099264357
Machine3.Zone2Temperature.C.Actual,0.0058258102471446015
Machine3.Zone1Temperature.C.Actual,0.0053088474633756835
Machine3.ExitZoneTemperature.C.Actual,0.005230632201074068
Machine1.ExitZoneTemperature.C.Actual,0.005055391992071453
Machine2.ExitZoneTemperature.C.Actual,0.0045292966626370125
Stage1.Output.Measurement4.U.Actual,0.004361663267384049
FirstStage.CombinerOperation.Temperature1.U.Actual,0.004267872403517309
Machine5.Temperature2.C.Actual,0.004239750803640705
Stage1.Output.Measurement1.U.Actual,0.004116733507885956
Stage1.Output.Measurement2.U.Actual,0.0040973256797475635
Machine4.ExitTemperature.U.Actual,0.004073155475923649
FirstStage.CombinerOperation.Temperature3.C.Actual,0.0037965263502587614
Stage1.Output.Measurement0.U.Actual,0.0033299787401151987
Machine5.Temperature1.C.Actual,0.0032864109618836066
Stage1.Output.Measurement12.U.Actual,0.002877748417133825
Stage1.Output.Measurement3.U.Actual,0.002635256038672513
Stage1.Output.Measurement13.U.Actual,0.00262642637771199
Stage1.Output.Measurement6.U.Actual,0.0026112645087493463
Machine2.MotorAmperage.U.Actual,0.0025315210206571614
Stage1.Output.Measurement8.U.Actual,0.0025206963416674537
Machine2.Zone2Temperature.C.Actual,0.0025175103093330437
Stage1.Output.Measurement9.U.Actual,0.0024232062047722385
Machine2.MaterialPressure.U.Actual,0.002156472808515921
Stage1.Output.Measurement7.U.Actual,0.00213971714800304
Stage1.Output.Measurement10.U.Actual,0.0017523241488211435
Machine2.MotorRPM.C.Actual,0.001727116315619405
Machine1.MotorRPM.C.Actual,0.0016927667398273845
