feature,ks_statistic,fit_missing_rate,test_missing_rate,fit_median,test_median,fit_iqr,robust_median_shift
ST112_VARHoursCntAbzugEin,1.0,0.0,0.0,1911185.0,2187786.0,117304.0,2.357984382459251
ST112_VARHoursCntAbzugWartung,1.0,0.0,0.0,1911185.0,2187786.0,117304.0,2.357984382459251
ST112_VARReversierungSollWinkel,0.5470253944341249,0.0,0.0,120.0,100.0,20.0,-1.0
ST114_VARTagZeit,0.47634701656785894,0.0,0.0,20202.0,8019.0,44316.0,-0.27491199566747904
ST114_VARGesamtZeit,0.47634701656785894,0.0,0.0,20202.0,8019.0,44316.0,-0.27491199566747904
ST113_VARGesamtZeit,0.46950071647326574,0.0,0.0,19660.0,7909.0,40190.0,-0.2923861657128639
ST113_VARTagZeit,0.46950071647326574,0.0,0.0,19660.0,7909.0,40190.0,-0.2923861657128639
ST114_VARTotalRolls,0.4664962655359024,0.0,0.0,735.0,263.0,1752.0,-0.2694063926940639
ST113_VARTotalRolls,0.46634616797852113,0.0,0.0,726.0,262.0,1632.0,-0.28431372549019607
ST110_VARExtr_0_HeizungZone_9_Regler_X,0.45711144890754646,0.0,0.0,36.0,40.0,7.0,0.5714285714285714
ST110_VARExtr_0_HeizungZone_8_Regler_X,0.4567414287388497,0.0,0.0,36.0,41.0,6.0,0.8333333333333334
ST110_VARExtr_0_HeizungZone_7_Regler_X,0.4565475183772846,0.0,0.0,37.0,42.0,7.0,0.7142857142857143
ST110_VARExtr_0_HeizungZone_6_Regler_X,0.45526928337685135,0.0,0.0,36.0,40.0,6.0,0.6666666666666666
ST110_VARExtr_3_druck_1_IstP,0.4421170813127836,0.0,0.0,410.0,357.0,55.0,-0.9636363636363636
ST114_VARTotalLen,0.43562877067388917,0.0,0.0,1174467.0,512505.0,2806481.0,-0.23586904739422787
ST113_VARTotalLen,0.43460425388440893,0.0,0.0,1171838.0,539148.0,2771931.0,-0.22824882726157325
ST110_VARGeblaese_1_Auslastung,0.4081244959645791,0.0,0.0,13.0,20.0,6.0,1.1666666666666667
ST112_VARReversierungSollSpeed,0.40288320429674196,0.0,0.0,40.0,30.0,7.0,-1.4285714285714286
ST110_VARExtr_2_HeizungZone_1_SollTemp,0.34785162585009133,0.0,0.0,175.0,170.0,18.0,-0.2777777777777778
ST110_VARExtr_2_HeizungZone_4_Regler_X,0.31188244573877516,0.0,0.0,181.0,175.0,18.0,-0.3333333333333333
ST110_VARExtr_1_druck_1_IstP,0.3111261263755044,0.0,0.0,386.0,353.0,52.0,-0.6346153846153846
ST110_VARExtr_2_HeizungZone_4_SollTemp,0.3043920774775486,0.0,0.0,180.0,175.0,17.0,-0.29411764705882354
ST110_VARIBC_3_Soll_n_Visu,0.2887377245519356,0.0,0.0,56.0,52.0,11.0,-0.36363636363636365
ST110_VARIBC_3_Ist_n_Calc,0.28855686210504367,0.0,0.0,55.0,51.0,11.0,-0.36363636363636365
ST110_VARIBC_1_Ist_n_Calc,0.28518597162486203,0.0,0.0,39.0,39.0,4.0,0.0
ST110_VARIBC_1_Soll_n_Visu,0.28517660596125793,0.0,0.0,40.0,40.0,4.0,0.0
ST110_VAREx_3_Dos_2_IstDurchsatz,0.2847638120347197,0.0,0.0,68.1,64.6,41.199999999999996,-0.08495145631067962
ST110_VARExtr_2_HeizungZone_2_Regler_Y,0.28194558213608,0.0,0.0,-13.0,-23.0,40.0,-0.25
ST110_VAREx_3_Dos_4_IstDurchsatz,0.26441743355148817,0.0,0.0,20.8,26.0,8.299999999999997,0.6265060240963857
ST110_VARGeblaese_2_Auslastung,0.2627520436153892,0.0,0.0,16.0,15.0,6.0,-0.16666666666666666
ST110_VARExtr_2_HeizungZone_1_Regler_X,0.25174042423082554,0.0,0.0,177.0,170.0,18.0,-0.3888888888888889
ST110_VARExtr_1_Massetemperatur,0.251521075279465,0.0,0.0,36.0,36.0,7.0,0.0
ST110_VARExtr_2_HeizungZone_3_Regler_X,0.2506937711953642,0.0,0.0,180.0,174.0,18.0,-0.3333333333333333
ST110_VARExtr_0_HeizungZone_5_Regler_X,0.23326376310219038,0.0,0.0,180.0,175.0,11.0,-0.45454545454545453
ST110_VAREx_2_Dos_2_IstDurchsatz,0.23134650890254294,0.0,0.0,130.6,127.4,57.39999999999999,-0.05574912891986044
ST110_VARExtr_3_HeizungZone_5_Regler_X,0.2265965598355213,0.0,0.0,33.0,33.0,7.0,0.0
ST110_VARExtr_1_HeizungZone_5_Regler_X,0.22504267172899928,0.0,0.0,35.0,35.0,7.0,0.0
ST110_VARExtr_2_HeizungZone_5_Regler_Y,0.21753329005942762,0.0,0.0,-53.0,-87.0,78.0,-0.4358974358974359
ST110_VAREx_0_SollDS,0.21502907725125586,0.0,0.0,445.0,400.0,130.0,-0.34615384615384615
ST110_VARExtr_0_HeizungZone_4_Regler_X,0.19841845312568424,0.0,0.0,189.0,186.0,9.0,-0.3333333333333333
ST110_VARUSBRegelungPosKlappe,0.19609173963542936,0.0,0.0,34.0,31.0,9.0,-0.3333333333333333
ST110_VARExtr_2_HeizungZone_1_Regler_Y,0.19604741965506012,0.0,0.0,-39.0,-72.0,89.0,-0.3707865168539326
ST113_VARSwdSpeedHMI,0.19457489248627058,0.0,0.0,75.0,81.0,28.0,0.21428571428571427
ST114_VARSwdSpeedHMI,0.19430590010412996,0.0,0.0,75.0,81.0,34.0,0.17647058823529413
ST110_VARExtr_2_druck_1_IstP,0.1938126057297918,0.0,0.0,377.0,367.0,157.0,-0.06369426751592357
ST113_VARTargetLenNextRoll,0.1926223990394167,0.0,0.0,1880.0,1900.0,1545.0,0.012944983818770227
ST113_VARWdSpeedHMI,0.19223577407437153,0.0,0.0,75.0,81.0,28.0,0.21428571428571427
ST110_VARExtr_3_HeizungZone_4_Regler_Y,0.18798300108406635,0.0,0.0,-18.0,-29.0,29.0,-0.3793103448275862
ST110_VARExtr_2_HeizungZone_3_Regler_Y,0.18781939402469694,0.0,0.0,-10.0,-12.0,42.0,-0.047619047619047616
ST113_VARPnSpeedHMI,0.18592272984850278,0.0,0.0,76.0,82.0,28.0,0.21428571428571427
ST110_VAREx_2_Dos_1_IstFoerderrate,0.1819330749244075,0.0,0.0,4.36,4.35,2.71,-0.003690036900369253
ST110_VAREx_2_Dos_4_IstDurchsatz,0.17787456370987825,0.0,0.0,51.3,52.1,28.89999999999999,0.027681660899654136
ST110_VARExtr_2_HeizungZone_4_Regler_Y,0.1761784354777765,0.0,0.0,-11.0,-12.0,37.0,-0.02702702702702703
ST114_VARTargetLenNextRoll,0.16626824130739692,0.0,0.0,1870.0,1900.0,1540.0,0.01948051948051948
ST110_VARTrichter_3_Vorwahl,0.16056805396762633,0.0,0.0,1.0,1.0,0.0,
ST110_VAREx_1_Dos_4_IstDurchsatz,0.1560470018710518,0.0,0.0,15.5,17.4,8.4,0.22619047619047603
ST110_VARExtr_2_HeizungZone_5_Regler_X,0.14530912655862066,0.0,0.0,185.0,182.0,17.0,-0.17647058823529413
ST110_VARExtr_2_Massetemperatur,0.13811881474600862,0.0,0.0,39.0,38.0,8.0,-0.125
ST114_VARPrevLen,0.13587696303884123,0.0,0.0,1800.0,1856.0,1165.0,0.048068669527897
ST113_VARPrevLen,0.1348360124112774,0.0,0.0,1850.0,1865.0,1150.0,0.013043478260869565
ST112_VARReversierungZeit,0.13026511743261399,0.0,0.0,10.0,10.0,3.0,0.0
ST110_VAREx_1_Dos_2_IstDurchsatz,0.12966937726789018,0.0,0.0,83.6,84.3,49.099999999999994,0.014256619144602911
ST110_VARIBC_2_Ist_n_Calc,0.12403770905086475,0.0,0.0,40.0,41.0,5.0,0.2
ST110_VARIBC_2_Soll_n_Visu,0.12221959924755682,0.0,0.0,40.0,42.0,5.0,0.4
ST110_VARKorb_dIst_d,0.10687546149055721,0.0,0.0,1390.0,1372.0,361.0,-0.04986149584487535
ST110_VARKorb_dSoll_d,0.09661259276697642,0.0,0.0,1390.0,1371.0,362.0,-0.052486187845303865
ST110_VARExtr_0_HeizungZone_5_Regler_Y,0.08519222641790847,0.0,0.0,9.0,10.0,16.0,0.0625
ST110_VARExtr_1_HeizungZone_1_Regler_Y,0.07376749683401677,0.0,0.0,35.0,37.0,24.0,0.08333333333333333
ST110_VARProfilCmdReglerEin,0.061213087383617894,0.0,0.0,1.0,1.0,0.0,
ST110_VARTrichter_17_Vorwahl,0.04813784978057407,0.0,0.0,1.0,1.0,0.0,
ST110_VARTrichter_2_Vorwahl,0.039920445407292796,0.0,0.0,1.0,1.0,0.0,
ST113_VARCntStart,0.037049825348419385,0.0,0.0,1.0,1.0,0.0,
ST110_VARTrichter_9_Vorwahl,0.032168156737477596,0.0,0.0,1.0,1.0,0.0,
ST110_VARProfilCmdMessung,0.028165495688507118,0.0,0.0,1.0,1.0,0.0,
ST110_VARTrichter_11_Vorwahl,0.023735034376425594,0.0,0.0,1.0,1.0,0.0,
ST110_VAREx_1_Dos_3_Materialvorwahl,0.02106088715355231,0.0,0.0,65.0,65.0,0.0,
ST110_VARTrichter_10_Vorwahl,0.011744691273132303,0.0,0.0,1.0,1.0,0.0,
ST114_VARCntStart,0.005373272397995191,0.0,0.0,1.0,1.0,0.0,
ST110_VARTrichter_8_Vorwahl,0.00374470877166047,0.0,0.0,1.0,1.0,0.0,
ST110_VAREx_0_RegelungEin,0.002627949550896104,0.0,0.0,1.0,1.0,0.0,
