experiment,Run,run_key,n_positions,n_unique_positions,ap,vc,f,TCond,Fx,Fy,Fz,F,Ra_mean,Ra_std,Rsk_mean,Rsk_std,Rku_mean,Rku_std,RSm_mean,RSm_std,Rt_mean,Rt_std,Tool,Condition,mrr_proxy,condition_key
Exp1,1_021_B1_1_h,Exp1:1_021_B1_1_h,6,0,0.25,310.0,0.07,0.0,55.44,41.6,19.53,72.0109332,0.23383333333333334,0.019353724878344913,-0.32283333333333336,0.09356370378873778,2.9058333333333337,0.21043898561499175,71.13333333333333,8.621291473246146,1.7143333333333333,0.09841476853941519,21,1,5.425000000000001,0.25|310|0.07|0
Exp1,1_021_B1_2_g,Exp1:1_021_B1_2_g,6,0,0.25,310.0,0.1,0.0,69.13,50.07,20.51,87.78736754,0.6750000000000002,0.0067230945255886505,0.19849999999999998,0.06036141151431103,1.5965,0.0995002512559642,100.08333333333331,1.2937026963976925,2.617333333333333,0.201140415299031,21,2,7.75,0.25|310|0.1|0
Exp1,1_021_B1_3_i,Exp1:1_021_B1_3_i,6,0,0.25,310.0,0.13,0.0,84.61,56.61,24.09,104.6129643,0.8298333333333333,0.025095152254303324,1.039,0.0410316950661315,2.7966666666666664,0.10448859586895914,130.54999999999998,2.433721430238057,3.736166666666667,0.0717033239582843,21,3,10.075000000000001,0.25|310|0.13|0
Exp1,1_021_B1_4_a,Exp1:1_021_B1_4_a,6,0,0.25,350.0,0.07,0.0,49.23,44.46,21.07,69.60049856,0.39399999999999996,0.035709942593065036,0.6156666666666667,0.07121142230475856,2.4145,0.15140508577983763,70.50000000000001,1.9078784028338918,2.020166666666667,0.06661956669527853,21,4,6.125000000000001,0.25|350|0.07|0
Exp1,1_021_B1_5_c,Exp1:1_021_B1_5_c,6,0,0.25,350.0,0.1,0.0,65.48,49.71,22.31,85.18480264,0.6385,0.042330839821576885,0.7525,0.09860578076360434,2.341333333333333,0.13079398559057173,100.5,0.7266360849833966,2.831166666666667,0.18265532203214513,21,5,8.75,0.25|350|0.1|0
Exp1,1_021_B1_6_b,Exp1:1_021_B1_6_b,6,0,0.25,350.0,0.13,0.0,81.03,59.21,25.94,103.6560109,1.1605,0.027215804232100176,0.773,0.05324283989420551,2.468833333333333,0.07645761352976341,130.5,1.2664912159190054,5.210999999999999,0.07675154721567523,21,6,11.375,0.25|350|0.13|0
Exp1,1_021_B1_7_f,Exp1:1_021_B1_7_f,6,0,0.25,390.0,0.07,0.0,51.59,42.31,18.87,69.33787637,0.3216666666666667,0.023088236543024818,0.5355,0.26266080788728263,2.199666666666667,0.5206655996574641,70.60000000000001,1.3401492454200745,1.5388333333333335,0.16074503621159394,21,7,6.825000000000001,0.25|390|0.07|0
Exp1,1_021_B1_8_d,Exp1:1_021_B1_8_d,6,0,0.25,390.0,0.1,0.0,65.95,50.85,22.3,86.21145516,0.7173333333333333,0.018402898322456365,0.5603333333333333,0.038722947546211736,1.9308333333333332,0.051300747233024475,100.8,0.5403702434442517,2.8545,0.08039340768993439,21,8,9.75,0.25|390|0.1|0
Exp1,1_021_B1_9_e,Exp1:1_021_B1_9_e,6,0,0.25,390.0,0.13,0.0,84.34,57.88,26.26,105.6073747,1.1028333333333336,0.028251843597660403,0.48416666666666663,0.05183210073561234,2.0755,0.059163333239431244,131.16666666666666,0.8959166627910558,4.490333333333333,0.08740175436835716,21,9,12.675,0.25|390|0.13|0
Exp1,1_031_B2_10_b,Exp1:1_031_B2_10_b,6,0,0.5,310.0,0.07,0.0,110.5,61.45,68.08,143.6009711,0.26916666666666667,0.02323287900081835,0.10333333333333335,0.07622248137306124,1.9328333333333336,0.17173050592910588,74.14999999999999,3.6181486978840436,1.3748333333333331,0.17631723303939031,31,10,10.850000000000001,0.5|310|0.07|0
Exp1,1_031_B2_11_d,Exp1:1_031_B2_11_d,6,0,0.5,310.0,0.1,0.0,141.5,69.27,67.71,171.4795236,0.5175000000000001,0.012373358476985959,0.8785,0.05652167725749121,3.0896666666666666,0.09419058693238219,102.85000000000001,5.300094338783039,2.906333333333333,0.04563624290699952,31,11,15.5,0.5|310|0.1|0
Exp1,1_031_B2_12_c,Exp1:1_031_B2_12_c,6,0,0.5,310.0,0.13,0.0,171.5,83.49,75.56,205.1636998,1.1051666666666666,0.031108948337522858,0.9426666666666667,0.08937262817365652,2.7168333333333337,0.19913755714748205,132.0,1.807761046156271,5.012333333333333,0.15490857518764614,31,12,20.150000000000002,0.5|310|0.13|0
Exp1,1_031_B2_13_j,Exp1:1_031_B2_13_j,6,0,0.5,350.0,0.07,0.0,107.7,52.78,60.21,134.2023193,0.3116666666666667,0.0450362816700787,-0.04683333333333333,0.08719957950968954,2.0591666666666666,0.13489761549659302,68.78333333333335,2.9328598102648322,1.6094999999999997,0.18643792532636697,31,13,12.250000000000002,0.5|350|0.07|0
Exp1,1_031_B2_14_h,Exp1:1_031_B2_14_h,6,0,0.5,350.0,0.1,0.0,144.7,70.44,66.44,174.1096126,0.6074999999999999,0.010212737145349437,0.128,0.03773062416658383,1.9706666666666666,0.02353437202618051,99.71666666666668,1.1196725711861806,2.7533333333333334,0.04136020631798962,31,14,17.5,0.5|350|0.1|0
Exp1,1_031_B2_15_i,Exp1:1_031_B2_15_i,6,0,0.5,350.0,0.13,0.0,179.8,81.93,75.26,211.4347003,0.5408333333333334,0.028294286820251636,0.3453333333333333,0.07527195139403964,2.339166666666667,0.11527257551849296,114.25,14.45887270847904,2.765,0.19998699957747257,31,15,22.75,0.5|350|0.13|0
Exp1,1_031_B2_16_f,Exp1:1_031_B2_16_f,6,0,0.5,390.0,0.07,0.0,110.1,56.55,61.05,138.0109235,0.3601666666666667,0.010759491933482104,0.052833333333333336,0.04912602840314558,1.8826666666666665,0.05046847200645828,71.11666666666667,0.6177917664283561,1.7300000000000002,0.11970129489692241,31,16,13.650000000000002,0.5|390|0.07|0
Exp1,1_031_B2_17_e,Exp1:1_031_B2_17_e,6,0,0.5,390.0,0.1,0.0,141.9,70.27,65.19,171.2402377,0.5535,0.024558094388612454,0.5498333333333333,0.13452794009671992,2.4086666666666665,0.17950784569669,102.88333333333334,1.2367969383316997,2.7848333333333333,0.06666758332703128,31,17,19.5,0.5|390|0.1|0
Exp1,1_031_B2_18_g,Exp1:1_031_B2_18_g,6,0,0.5,390.0,0.13,0.0,173.5,82.13,71.8,204.9459121,0.5163333333333333,0.01562903281289879,0.702,0.07005426468103139,3.015,0.07388369238201356,97.33333333333336,14.494780669836524,2.7769999999999997,0.09735502041497394,31,18,25.35,0.5|390|0.13|0
Exp1,1_041_B3_19_h,Exp1:1_041_B3_19_h,6,0,0.8,310.0,0.07,0.0,169.4,61.43,121.5,217.3298298,0.38466666666666666,0.01530577233159657,-0.3861666666666667,0.09499982456124151,2.2021666666666664,0.09053047369072285,69.41666666666667,1.3541294866690805,2.0715,0.16740698910141127,41,19,17.360000000000003,0.8|310|0.07|0
Exp1,1_041_B3_20_i,Exp1:1_041_B3_20_i,6,0,0.8,310.0,0.1,0.0,226.3,78.35,218.9,324.4497226,0.6066666666666666,0.02537452791022264,0.13783333333333334,0.21385548079641697,2.2413333333333334,0.04991860040773048,93.94999999999999,5.876648704831691,3.0985,0.09678791246844819,41,20,24.800000000000004,0.8|310|0.1|0
Exp1,1_041_B3_21_g,Exp1:1_041_B3_21_g,6,0,0.8,310.0,0.13,0.0,283.5,100.2,221.5,373.4629031,1.0776666666666666,0.1706770830154613,0.4703333333333333,0.11828383941463291,2.2258333333333336,0.06476856233286844,130.03333333333333,3.4343364230469153,5.004833333333333,0.5959206043313713,41,21,32.24,0.8|310|0.13|0
Exp1,1_041_B3_22_a,Exp1:1_041_B3_22_a,6,0,0.8,350.0,0.07,0.0,159.5,62.91,115.8,206.8998746,0.3775,0.006534523701081822,0.4283333333333334,0.030382012222146627,2.037333333333333,0.05395059468316055,70.5,0.7483314773547891,1.8193333333333335,0.09842696107605203,41,22,19.6,0.8|350|0.07|0
Exp1,1_041_B3_23_c,Exp1:1_041_B3_23_c,6,0,0.8,350.0,0.1,0.0,213.0,77.32,190.3,295.9078782,0.8258333333333333,0.08143811556431466,0.5918333333333333,0.1225992115254689,2.4909999999999997,0.14415130939398368,101.05000000000001,1.204574613712247,3.9401666666666664,0.31642213365481675,41,23,28.000000000000007,0.8|350|0.1|0
Exp1,1_041_B3_24_b,Exp1:1_041_B3_24_b,6,0,0.8,350.0,0.13,0.0,272.2,100.7,219.1,363.6456242,1.4204999999999999,0.031258598816965556,0.8705000000000002,0.07684985361079097,2.6201666666666665,0.1051882439565689,131.45000000000002,0.9481561052906856,6.277833333333333,0.10732644905458599,41,24,36.400000000000006,0.8|350|0.13|0
Exp1,1_041_B3_25_d,Exp1:1_041_B3_25_d,6,0,0.8,390.0,0.07,0.0,162.8,60.35,116.9,209.3121413,0.4386666666666666,0.07497644074418756,0.32616666666666666,0.11009344515758722,2.0606666666666666,0.09275487408576791,70.78333333333333,0.5115336417740902,2.1235,0.34805100200976286,41,25,21.840000000000003,0.8|390|0.07|0
Exp1,1_041_B3_26_e,Exp1:1_041_B3_26_e,6,0,0.8,390.0,0.1,0.0,215.7,75.94,193.2,299.3653514,0.7171666666666666,0.18881675420011504,0.4931666666666667,0.36746233367063175,2.3615,0.6184369814297977,99.11666666666667,2.0222924285737403,3.329333333333334,0.4661985270962003,41,26,31.200000000000006,0.8|390|0.1|0
Exp1,1_041_B3_27_f,Exp1:1_041_B3_27_f,6,0,0.8,390.0,0.13,0.0,272.5,98.6,214.3,360.4201715,1.0656666666666668,0.17826459734525718,0.5336666666666666,0.1489156360717929,2.294,0.10819796670917631,130.41666666666669,1.7769824609901606,4.730166666666666,0.5246505185994449,41,27,40.56,0.8|390|0.13|0
Exp1,1_051_B1_1_i,Exp1:1_051_B1_1_i,6,0,0.25,310.0,0.07,0.0,55.84,42.95,22.11,73.83535874,0.3913333333333333,0.008238122763510313,0.2011666666666667,0.1298112732649467,2.1651666666666665,0.14851992010052617,79.06666666666666,9.175983144419275,2.175666666666667,0.08989697807305126,51,1,5.425000000000001,0.25|310|0.07|0
Exp1,1_051_B1_2_g,Exp1:1_051_B1_2_g,6,0,0.25,310.0,0.1,0.0,68.78,49.87,23.98,88.27652972,0.8694999999999999,0.010054849576199546,0.06899999999999999,0.017504285189632852,1.5751666666666664,0.04049403248216541,100.91666666666667,0.6145459028149696,3.2969999999999993,0.11305573846559062,51,2,7.75,0.25|310|0.1|0
Exp1,1_051_B1_3_h,Exp1:1_051_B1_3_h,6,0,0.25,310.0,0.13,0.0,83.42,59.72,25.89,105.8095785,1.167,0.020376457003120078,0.29633333333333334,0.07739939706914174,1.8571666666666669,0.024677249981848948,131.03333333333333,0.9521904571390443,4.565833333333333,0.12589744503629416,51,3,10.075000000000001,0.25|310|0.13|0
Exp1,1_051_B1_4_c,Exp1:1_051_B1_4_c,6,0,0.25,350.0,0.07,0.0,52.04,44.26,22.9,72.05219775,0.6331666666666667,0.0347241510575373,0.484,0.05014778160596939,2.024833333333333,0.048168108398261425,70.41666666666667,0.5706721183540224,2.8394999999999997,0.20810261891672577,51,4,6.125000000000001,0.25|350|0.07|0
Exp1,1_051_B1_5_a,Exp1:1_051_B1_5_a,6,0,0.25,350.0,0.1,0.0,64.9,55.46,27.28,89.62153759,1.0478333333333334,0.013556056457047765,0.7341666666666665,0.03346889102833654,2.327,0.03366303610787371,100.46666666666668,0.4501851470969103,4.428166666666667,0.06986677798973306,51,5,8.75,0.25|350|0.1|0
Exp1,1_051_B1_6_b,Exp1:1_051_B1_6_b,6,0,0.25,350.0,0.13,0.0,79.1,61.07,24.84,102.9727173,1.7486666666666666,0.06441014412859725,0.4609999999999999,0.057218878003679884,1.828,0.05447201116169663,130.51666666666668,1.2023587928179589,6.570166666666668,0.18877438032388463,51,6,11.375,0.25|350|0.13|0
Exp1,1_051_B1_7_f,Exp1:1_051_B1_7_f,6,0,0.25,390.0,0.07,0.0,52.92,44.28,22.37,72.53731247,0.47,0.016284962388657814,0.4313333333333333,0.07019021774198073,1.8165000000000002,0.0614678777899481,70.53333333333335,0.5750362307426103,2.074333333333333,0.07325753658611965,51,7,6.825000000000001,0.25|390|0.07|0
Exp1,1_051_B1_8_e,Exp1:1_051_B1_8_e,6,0,0.25,390.0,0.1,0.0,66.41,51.77,23.69,87.4736366,0.9311666666666666,0.10362126551372866,0.44366666666666665,0.1189733863797558,1.9761666666666668,0.20951507503439146,100.26666666666667,0.4320493798938545,3.6806666666666668,0.25640800819527204,51,8,9.75,0.25|390|0.1|0
Exp1,1_051_B1_9_d,Exp1:1_051_B1_9_d,6,0,0.25,390.0,0.13,0.0,80.14,59.87,25.76,103.2976965,1.2638333333333334,0.29421721001101664,0.5415,0.1539736990527928,2.134,0.2610547835225396,130.96666666666667,1.3923601066773845,5.162166666666667,0.7765249298423502,51,9,12.675,0.25|390|0.13|0
Exp1,1_061_B2_10_c,Exp1:1_061_B2_10_c,6,0,0.5,310.0,0.07,0.0,109.1,57.9,63.82,139.0259415,0.4498333333333333,0.005269408568963572,0.19199999999999998,0.03694861296449435,2.0363333333333333,0.0621728772590321,69.55000000000001,1.2926716520447077,2.1486666666666667,0.08974333772858377,61,10,10.850000000000001,0.5|310|0.07|0
Exp1,1_061_B2_11_a,Exp1:1_061_B2_11_a,6,0,0.5,310.0,0.1,0.0,139.5,69.35,73.61,172.3023639,0.907,0.0201891059732718,0.6853333333333333,0.060387636703771314,2.1269999999999993,0.04988386512691246,100.85000000000001,0.4505552130427517,3.6785,0.14532136800897516,61,11,15.5,0.5|310|0.1|0
Exp1,1_061_B2_12_b,Exp1:1_061_B2_12_b,6,0,0.5,310.0,0.13,0.0,176.5,87.39,82.71,213.6122801,1.1238333333333332,0.0894145774841366,0.5098333333333334,0.0664933580642959,1.9880000000000002,0.043945420694311274,130.16666666666666,1.8896207732417238,4.578833333333333,0.39461597365877954,61,12,20.150000000000002,0.5|310|0.13|0
Exp1,1_061_B2_13_f,Exp1:1_061_B2_13_f,6,0,0.5,350.0,0.07,0.0,112.4,57.46,63.16,141.1545153,0.39133333333333337,0.020185803592293942,-0.026500000000000006,0.05903473553764767,1.7335,0.06455617708631761,70.39999999999999,0.5403702434442527,1.7539999999999998,0.10628452380285663,61,13,12.250000000000002,0.5|350|0.07|0
Exp1,1_061_B2_14_e,Exp1:1_061_B2_14_e,6,0,0.5,350.0,0.1,0.0,143.5,69.57,71.62,174.8189329,0.6238333333333334,0.015967675681409207,0.4036666666666667,0.06548791237065558,2.0938333333333334,0.025639162752841064,100.68333333333334,1.0206207261596576,2.8958333333333335,0.12761413192380647,61,14,17.5,0.5|350|0.1|0
Exp1,1_061_B2_15_d,Exp1:1_061_B2_15_d,6,0,0.5,350.0,0.13,0.0,177.3,85.72,79.43,212.3495545,0.968,0.0058991524815010556,0.6478333333333334,0.02177536834743944,2.279,0.02085185843036531,130.96666666666664,1.406650868789649,4.179166666666666,0.08868690245276725,61,15,22.75,0.5|350|0.13|0
Exp1,1_061_B2_16_g,Exp1:1_061_B2_16_g,6,0,0.5,390.0,0.07,0.0,116.2,58.82,65.47,145.7688351,0.27299999999999996,0.016112107248898253,-0.16716666666666666,0.07525268544488407,1.9989999999999999,0.10698037203150862,51.11666666666667,3.250487142978212,1.3786666666666665,0.18554316658574807,61,16,13.650000000000002,0.5|390|0.07|0
Exp1,1_061_B2_17_h,Exp1:1_061_B2_17_h,6,0,0.5,390.0,0.1,0.0,144.9,69.67,69.12,175.0071236,0.3981666666666667,0.018627041275164086,0.09916666666666667,0.13571796736860844,2.3128333333333337,0.08035276390185137,73.08333333333333,9.408807930161325,2.1293333333333333,0.10276121187815301,61,17,19.5,0.5|390|0.1|0
Exp1,1_061_B2_18_i,Exp1:1_061_B2_18_i,6,0,0.5,390.0,0.13,0.0,177.5,82.13,74.87,209.4208772,0.6678333333333333,0.012073386710723132,0.8449999999999999,0.09529742913636233,2.8365000000000005,0.054800547442521164,130.96666666666667,1.3351654079800988,3.3478333333333334,0.0321460210083093,61,18,25.35,0.5|390|0.13|0
