scenario,ppo_seed_mean_wtt,weighted_composite_wtt,ppo_improvement_vs_weighted_composite,ppo_percent_improvement_vs_weighted_composite,ppo_vs_weighted_composite_hier_ci_low,ppo_vs_weighted_composite_hier_ci_high,ppo_vs_weighted_composite_p_holm,cpsat_wtt,ppo_improvement_vs_cpsat,ppo_percent_improvement_vs_cpsat,ppo_vs_cpsat_hier_ci_low,ppo_vs_cpsat_hier_ci_high,ppo_vs_cpsat_p_holm
nominal,70.78469730029728,63.25473897289898,-7.529958327398288,-11.90418053993463,-15.125158207301167,-1.5435387954807698,0.001999800019998,69.15943180152485,-1.6252654987724304,-2.350027257940248,-9.166126595010113,5.288082111328946,1.0
demand_120,211.75293639315268,192.02106816907724,-19.73186822407552,-10.27588712645913,-41.23138044053322,-2.7003711025908426,0.001999800019998,214.61484521342675,2.8619088202740084,1.333509253485211,-16.62146599614147,21.335545835113287,1.0
demand_140,383.09564172438127,345.8389238604515,-37.2567178639297,-10.772852704967084,-77.26796936262299,-2.0781942620417047,0.001999800019998,390.3136938650426,7.218052140661326,1.849295132124441,-32.68868511730977,44.799081181029344,1.0
demand_160,547.4742313656004,489.9622002307216,-57.51203113487867,-11.738054712750584,-121.13711869171614,-0.2316782026950167,0.001999800019998,572.7199165774936,25.245685211893317,4.408033400123142,-38.7200653916925,86.57305440968612,0.004999500049995
breakdown_2x,105.39401574965385,95.92041555291094,-9.4736001967429,-9.87652122036225,-20.213008236899032,-1.4915563573233517,0.001999800019998,104.98123464603736,-0.4127811036164914,-0.3931951314996964,-10.544993680578076,8.737640943930963,1.0
breakdown_4x,166.96517261832938,152.2761466528194,-14.689025965510004,-9.646307900737806,-28.819650091746343,-2.996788393703653,0.001999800019998,166.14926904851964,-0.815903569809734,-0.4910666020272832,-14.714943492499591,12.763724121160584,1.0
tight_due_085,106.43170668450512,98.90907369050262,-7.522632994002516,-7.605604534869735,-15.876302991043032,-1.5828053523323289,0.001999800019998,104.12111689761356,-2.3105897868915988,-2.2191365745372225,-10.82232422256244,5.432764921854383,1.0
slow_machines_090,172.41790542031677,153.47739044793306,-18.940514972383777,-12.340915438492106,-37.624672524447085,-3.474408414576267,0.001999800019998,167.1814920012688,-5.236413419048068,-3.1321729196006505,-23.89650873039371,11.420362127144092,0.6855314468553144
setup_2x,195.63193274120516,186.94712734709333,-8.68480539411179,-4.645594461575888,-20.99948683955523,0.0340207397709411,0.0467953204679532,205.58451171474263,9.952578973537529,4.841113219339772,-4.80944029999148,24.83853866108016,0.734926507349265
compound_stress,820.9690184221164,757.3032094546,-63.66580896751632,-8.406911283707304,-136.5082830303542,-0.9184990282549926,0.001999800019998,896.0072558945377,75.03823747242127,8.374735469916045,1.1970093563969306,142.00598170695935,0.001999800019998
