feature,history_missing_rate,test_missing_rate,missing_rate_change,history_median,test_median,history_iqr,robust_median_shift_iqr,abs_robust_shift
V028,0.0018264840182648401,0.0,-0.0018264840182648401,68.3889,72.4889,3.7667,1.0884859426022764,1.0884859426022764
V300,0.0018264840182648401,0.0,-0.0018264840182648401,0.0792,0.10785,0.048299999999999996,0.593167701863354,0.593167701863354
V165,0.0018264840182648401,0.0,-0.0018264840182648401,0.176,0.2385,0.11000000000000001,0.5681818181818181,0.5681818181818181
V103,0.0009132420091324201,0.0,-0.0009132420091324201,-0.0096,-0.0114,0.0040999999999999995,-0.4390243902439028,0.4390243902439028
V295,0.0018264840182648401,0.0,-0.0018264840182648401,213.4797,153.88075,143.5003,-0.4153228251090764,0.4153228251090764
V431,0.0018264840182648401,0.0,-0.0018264840182648401,17.3509,13.12155,10.258,-0.41229771885357774,0.41229771885357774
V059,0.0045662100456621,0.0,-0.0045662100456621,1.73455,-1.19095,7.229374999999999,-0.4046684533586929,0.4046684533586929
V436,0.0018264840182648401,0.0,-0.0018264840182648401,2.718,3.4202,1.7517000000000003,0.40086772849232166,0.40086772849232166
V510,0.0009132420091324201,0.0,-0.0009132420091324201,50.5265,39.47435,31.752499999999998,-0.3480718053696559,0.3480718053696559
V129,0.005479452054794521,0.012605042016806723,0.007125589962012202,-0.0946,-0.3311,0.7096,-0.33328635851183763,0.33328635851183763
V079,0.0,0.10084033613445378,0.10084033613445378,0.0047,-0.00315,0.027149999999999997,-0.289134438305709,0.289134438305709
V430,0.0018264840182648401,0.0,-0.0018264840182648401,10.3101,13.20135,10.355300000000002,0.2792048516218747,0.2792048516218747
V437,0.0018264840182648401,0.0,-0.0018264840182648401,3.7261,4.1076,1.6313999999999997,0.23384822851538528,0.23384822851538528
V434,0.0018264840182648401,0.0,-0.0018264840182648401,10.3341,9.3874,5.049099999999999,-0.1874987621556317,0.1874987621556317
V021,0.0018264840182648401,0.0,-0.0018264840182648401,-5561.75,-5443.75,878.0,0.13439635535307518,0.13439635535307518
V435,0.0018264840182648401,0.0,-0.0018264840182648401,4.4896,4.7598,2.0567999999999995,0.1313691170750681,0.1313691170750681
V163,0.0018264840182648401,0.0,-0.0018264840182648401,0.118,0.123,0.057999999999999996,0.08620689655172423,0.08620689655172423
V298,0.0018264840182648401,0.0,-0.0018264840182648401,0.0518,0.0537,0.025599999999999998,0.07421874999999996,0.07421874999999996
V114,0.0,0.0,0.0,0.0,0.0,0.0,,
V249,0.0,0.0,0.0,0.0,0.0,0.0,,
