model,panel_request,panel_size,average_precision,brier_score,roc_auc
extra_trees,20,20,0.07848412308828011,0.05055982812120586,0.4572818485861964
extra_trees,160,160,0.07717713425398341,0.041678156089957716,0.40377014290057767
extra_trees,80,80,0.06747586349064585,0.045587347175417015,0.4496807540285801
logistic_regression,all,444,0.05063065352643932,0.16327740166516003,0.636667680145941
extra_trees,40,40,0.04942869560208052,0.04763031893288172,0.3657646701124962
logistic_regression,160,160,0.04831937437053155,0.17335387289476098,0.541501976284585
extra_trees,all,444,0.046251936908620644,0.03865083949033034,0.45515354211006387
logistic_regression,40,40,0.04523244211015982,0.1526701392249161,0.4241410763149893
logistic_regression,80,80,0.03752505007426395,0.18414529291486054,0.4840377014290058
logistic_regression,20,20,0.025649060257306434,0.15924405315070372,0.3019154758285193
