feature,anova_f,fit_missing_rate,rank
V059,38.18345379220954,0.0045662100456621,1
V431,19.505832685582483,0.0018264840182648401,2
V430,17.739477723959443,0.0018264840182648401,3
V021,17.17960252171843,0.0018264840182648401,4
V434,17.124396030843425,0.0018264840182648401,5
V435,16.527404872258664,0.0018264840182648401,6
V436,16.45865435822271,0.0018264840182648401,7
V103,15.436573786687262,0.0009132420091324201,8
V028,14.98901244134998,0.0018264840182648401,9
V510,13.614826171812451,0.0009132420091324201,10
V129,13.460090496598289,0.005479452054794521,11
V437,13.425310358822497,0.0018264840182648401,12
V298,13.335678759271644,0.0018264840182648401,13
V163,13.239958741891169,0.0018264840182648401,14
V165,11.742889259605441,0.0018264840182648401,15
V079,11.706469482184387,0.0,16
V300,11.313313257518676,0.0018264840182648401,17
V114,11.227118913334923,0.0,18
V295,11.20559450663927,0.0018264840182648401,19
V249,10.996842714408997,0.0,20
